"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"broken","Tue Oct 14 08:29:58 GMT 2025","Tue Oct 14 08:29:58 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.courses","test_courses","TestCourses","","","Create course",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.courses","test_courses","TestCourses","","","Create course",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"broken","Tue Oct 14 08:29:58 GMT 2025","Tue Oct 14 08:29:58 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"broken","Tue Oct 14 08:29:59 GMT 2025","Tue Oct 14 08:29:59 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"broken","Tue Oct 14 08:30:00 GMT 2025","Tue Oct 14 08:30:00 GMT 2025","0","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"broken","Tue Oct 14 08:30:03 GMT 2025","Tue Oct 14 08:30:03 GMT 2025","0","tests.courses","test_courses","TestCourses","","","Create course",""
